Language Task Size Select_interval Select_size Actual_duration Model Metric Value Method
Bemba asr 15 15 975 985.3 wav2vec2-large-xlsr-53 wer 0.28115770821027763 al
Bemba asr 15 15 975 985.3 wav2vec2-large-xlsr-53 cer 0.0509626121702162 al
Sagalee asr 15 15 0 14.94 wav2vec2-large-xlsr-53 wer 0.9995112149025145 al
Sagalee asr 15 15 0 14.94 wav2vec2-large-xlsr-53 cer 0.9545119322941652 al
Hupa asr 15 15 0 14.96 wav2vec2-large-xlsr-53 wer 0.9706043956043956 al
Hupa asr 15 15 0 14.96 wav2vec2-large-xlsr-53 cer 0.9694227288481534 al
Hupa asr 15 15 15 29.95 wav2vec2-large-xlsr-53 wer 0.9616758241758242 al
Hupa asr 15 15 15 29.95 wav2vec2-large-xlsr-53 cer 0.9316440097046251 al
Hupa asr 15 15 30 44.94 wav2vec2-large-xlsr-53 wer 0.8372252747252747 al
Hupa asr 15 15 30 44.94 wav2vec2-large-xlsr-53 cer 0.531963646166288 al
Hupa asr 15 15 45 59.9 wav2vec2-large-xlsr-53 wer 0.5748626373626373 al
Hupa asr 15 15 45 59.9 wav2vec2-large-xlsr-53 cer 0.15196210574960528 al
Hupa asr 15 15 60 74.9 wav2vec2-large-xlsr-53 wer 0.5396978021978022 al
Hupa asr 15 15 60 74.9 wav2vec2-large-xlsr-53 cer 0.13909962644895443 al
Hupa asr 15 15 75 89.89 wav2vec2-large-xlsr-53 wer 0.6071428571428571 al
Hupa asr 15 15 75 89.89 wav2vec2-large-xlsr-53 cer 0.16168598605922901 al
Hupa asr 15 15 90 104.85 wav2vec2-large-xlsr-53 wer 0.4697802197802198 al
Hupa asr 15 15 90 104.85 wav2vec2-large-xlsr-53 cer 0.10638502714984403 al
Hupa asr 15 15 105 119.74 wav2vec2-large-xlsr-53 wer 0.40302197802197803 al
Hupa asr 15 15 105 119.74 wav2vec2-large-xlsr-53 cer 0.0886894905071822 al
Hupa asr 15 15 120 134.66 wav2vec2-large-xlsr-53 wer 0.38653846153846155 al
Hupa asr 15 15 120 134.66 wav2vec2-large-xlsr-53 cer 0.08287441752994185 al
Hupa asr 15 15 135 149.51 wav2vec2-large-xlsr-53 wer 0.3994505494505495 al
Hupa asr 15 15 135 149.51 wav2vec2-large-xlsr-53 cer 0.08922863634613162 al
